명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
스프링워크서울,5502.0,어반스포츠,010-2100-3855,서울특별시 송파구 한가람로 65 (잠실동),37.5176813118,127.0867514361,"겨울에 잠들었던 몸을 깨우자!  누구나 가볍게 걸을 수 있는 걷기 코스로 연인, 가족, 친구 등과 함께 잠실한강공원 일대를 걸으며 따뜻한 봄을 느낄 수 있도록 구성되어있으며 가장 먼저 한강의 봄바람을 만나 걷기로 한강의 봄을 만끽할 수 있다. 완보를 하고 나서 얻는 기념 메달을 통해 감동과 성취도 얻을 수 있다.",어반스포츠,010-2100-3855,블렌트,,20240323.0,20240323.0,10:00~18:00,잠실한강공원,,"워밍업 코스 (10K) - 41,000원 <br>레벨업 코스 (20K) - 51,000원",,,없음,,,,,"행사소개:겨울에 잠들었던 몸을 깨우자!  누구나 가볍게 걸을 수 있는 걷기 코스로 연인, 가족, 친구 등과 함께 잠실한강공원 일대를 걸으며 따뜻한 봄을 느낄 수 있도록 구성되어있으며 가장 먼저 한강의 봄바람을 만나 걷기로 한강의 봄을 만끽할 수 있다. 완보를 하고 나서 얻는 기념 메달을 통해 감동과 성취도 얻을 수 있다.
행사내용:1. 메인프로그램 : 잠실한강공원 걷기 행사
2. 부대프로그램 : 협찬사 부스 이벤트, 무대 이벤트
3. 소비자 참여 프로그램 : 협찬사 부스와 무대 이벤트 참여 및 한강 걷기
",선택안함,선택안함
피나클랜드 불꽃축제,31428.0,㈜피나클랜드농업회사법인,041-541-2582,충청남도 아산시 영인면 월선길 20-42,36.8725197718,126.92634227079999,"피나클랜드의 명물이 되어버린 불꽃축제이다. 봄 하늘에도 화려한 꽃을 그린다. 낮에는 억만송이 봄꽃과 튤립수선화가 맞이하고, 밤에는 불꽃이 피나클랜드의 밤 하늘에 꽃을 피운다.",㈜피나클랜드농업회사법인,041-541-2582,,,20240323.0,20240526.0,매주 토요일 20:00,피나클랜드,,"유료<br>((평일)대인 12,000원 / 소인 10,000원  (주말)대인 14,000원 / 소인 11,000원)",,,,,,,,"행사소개:피나클랜드의 명물이 되어버린 불꽃축제이다. 봄 하늘에도 화려한 꽃을 그린다. 낮에는 억만송이 봄꽃과 튤립수선화가 맞이하고, 밤에는 불꽃이 피나클랜드의 밤 하늘에 꽃을 피운다. 
행사내용:1. 메인프로그램 : 억만송이 봄꽃축제<br>
2. 부대프로그램 : 버블쇼, 마술공연, 사물놀이 등 문화예술공연<br>
3. 소비자 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험, 구근심기 체험<br>
4. 기타 내용 : 불꽃축제 
",선택안함,선택안함
이월드 라라랜드,42666.0,이월드,070-7549-8112,대구광역시 달서구 두류공원로 200 (두류동),35.8550515822,128.56012175770002,"올해 새롭게 선보이는 이월드 라라랜드에서는 2월 24일 라라랜드 그랜드 오픈 기념 초대형 불꽃쇼 <이월드 인더스타즈>를 시작으로, 봄 내내 퍼플을 메인 컬러로 새로운 볼거리 및 다양한 이벤트를 만날 수 있다. 놀이기구와 함께 즐길 수 있는 이월드 라라랜드는 2월 24일부터 시작되어 오는 5월 31일까지 진행된다.  축제 기간 동안 퍼플 포토존으로 꾸며진 이월드를 만날 수 있으며, 라라랜드와 함께 국내 최초 360도를 회전하는 메가스윙 및 30여 종의 놀이기구를 모두 즐길 수 있다.",이월드,070-7549-8112,,,20240224.0,20240531.0,10:30~21:00,이월드,,"종일 자유이용권 - 대인: 49,000원 / 청소년: 44,000원 / 어린이: 39,000원<br> 야간 자유이용권 - 대인: 35,000원 / 청소년: 33,000원 / 어린이: 33,000원<br> * 할인 정보는 이월드 홈페이지 참고",,,,,,,,"행사소개:올해 새롭게 선보이는 이월드 라라랜드에서는 2월 24일 라라랜드 그랜드 오픈 기념 초대형 불꽃쇼 <이월드 인더스타즈>를 시작으로, 봄 내내 퍼플을 메인 컬러로 새로운 볼거리 및 다양한 이벤트를 만날 수 있다. 놀이기구와 함께 즐길 수 있는 이월드 라라랜드는 2월 24일부터 시작되어 오는 5월 31일까지 진행된다.  축제 기간 동안 퍼플 포토존으로 꾸며진 이월드를 만날 수 있으며, 라라랜드와 함께 국내 최초 360도를 회전하는 메가스윙 및 30여 종의 놀이기구를 모두 즐길 수 있다.		

행사내용:1. 메인공연 : 이월드 인더스타즈, 라라의 블라썸 판타지<br>
2. 캐릭터 그리팅 : 웰컴 이월드 , 블라썸피크닉 포토파티, Alive 토피어리<br>
3. 기타 즐길거리 : 스프링 페스티브 마켓, 라라의 로열가든<br><br>
* 이벤트 및 운영 시간은 이월드 홈페이지 참고<br>
* 자세한 행사 내용은 이월드 인스타그램 @eworld.official 또는 공식 홈페이지를 참조.<br>
* 일부 행사는 상황에 따라 변경 및 취소될 수 있습니다.<br>
",,
"청춘, 금오천 벚꽃 페스티벌",39305.0,구미시,010-5577-5830,경상북도 구미시 산책길 105 (남통동),36.1229140932,128.3248461967,"봄의 시작을 알리는 벚꽃 시즌, 구미시 금오천을 따라 다양한 경험이 가능한 거리예술축제가 개최된다. 8가지 포토스팟, 게임, 15가지 길거리 음식, 생활예술공예 등 다양한 체험을 한 자리에서 경험할 수 있다. 가족, 연인과 함께 벚꽃와 개나리가 피어난 거리에서 사진도 찍을 수 있다.",구미시,010-5577-5830,숨협동조합,,20240322.0,20240326.0,09:00~22:00,금오천 일대,,,,,,,,,,"행사소개:봄의 시작을 알리는 벚꽃 시즌, 구미시 금오천을 따라 다양한 경험이 가능한 거리예술축제가 개최된다. 8가지 포토스팟, 게임, 15가지 길거리 음식, 생활예술공예 등 다양한 체험을 한 자리에서 경험할 수 있다. 가족, 연인과 함께 벚꽃와 개나리가 피어난 거리에서 사진도 찍을 수 있다.
행사내용:1. 메인무대<br>
3. 22.(금) ~ 3. 24.(일) 14:00 ~ 21:00 금오천 수상무대  <br>
-  개막식 19:00<br>
- [금] 작은 버스킹(19:00 ~ 20:30) <br>
- [토] 금오천 문화제(지역 전문 공연팀 중심)<br>
- [일] 금오천 송페스티벌: 라포엠(JTBC 팬텀싱어 3회 우승), 찰리재즈콰르텟 등<br><br>

2. 게임존<br>
3. 23.(토) ~ 3. 24.(일) 13:00 ~ 19:00  금오테니스장 앞 마당 <br>
로데오 게임, 포켓축구, 슈팅스타, 에어활 <br><br>

3. 푸드존<br>
 3. 23.(토) ~ 3. 24.(일) 12:00 ~ 20:30  금오테니스장 앞 도로변<br>
15가지 푸드트럭<br><br>

4. 체험존<br>
 3. 23.(토) ~ 3. 24.(일) 13:00 ~ 21:00  금오천 일원 <br>
아트페어, 아트마켓, 아트체험<br><br>

5. 포토존<br>
3. 22.(금) ~ 3. 26.(화) 09:00 ~ 22:00 금오천 일원 <br>
미디어파사드, 3d 홀로그램, 벚꽃길 반딧불로드, 달 모형, 수상포토존 4개소		

",,
위클리 클래식 페스티벌,3062.0,"MEG클래식, (사)한국공연예술가협회",010-9458-5310,서울특별시 종로구 율곡로 1 (사간동)3층,37.576283693200004,126.97984840040002,"우리동네 소극장에서 즐기는 클래식 음악회'라는 슬로건으로 2022년 경기도 오산에서 시작하여 관객들로부터 호평을 받고 있는 위클리 클래식 페스티벌이 2024년 전국 8개 공연장에서 3월부터 7월까지 개최된다. <br>
공모를 통해 선정된 68팀 총 210명의 연주자들이 서울, 경기, 청주, 대구, 제주에서 92회의 공연을 진행할 예정이다. 정통 클래식을 기반으로 재즈, 국악, 뉴에이지, 남미 음악에 이르기까지 클래식 악기로 보여줄 수 있는 다양한 장르도 선보일 예정이다. <br>
참여하는 공연장은 경복궁 클래식(서울 종로), 갤러리 오누이(서울 동작), 마이스터클랑(경기 광명), MEG아트홀(경기 오산), AG아트홀(충북 청주), 프란츠홀(대구 남구), 오디토리움(제주 애월), 끌로드아트홀(제주 서귀포)이며 공연장별 객석은 최소 30석에서 최대 100석 이다.<br>
연주자의 호흡까지 느낄 수 있을 정도로 무대와 객석이 가까운 거리, 모든 공연에 있는 연주자의 해설로 관객과 연주자 사이의 장벽이 자연스럽게 무너지는 놀라운 경험을 하게 될 것이다. 이 축제를 통하여 클래식 음악이 주는 감동과 희열, 특별한 에너지를 경험하며 예술적 영향력을 펼치기를 기대해 본다. 
예매는 클래식 공연 예매사이트인 '파인스테이지(www.finestage.co.kr)'에서 가능하다.","MEG클래식, (사)한국공연예술가협회",010-9458-5310,,,20240301.0,20240731.0,,15:00 또는 19:30,,경복궁 클래식: 4만원 / 갤러리 오누이: 3만원<br> 마이스터클랑: 3만원 / MEG아트홀: 2만원<br> AG아트홀: 3만원 / 프란츠홀: 2만원<br> 오디토리움제주: 2만원 / 끌로드아트홀: 2만원,,,,,,,,"행사소개:우리동네 소극장에서 즐기는 클래식 음악회'라는 슬로건으로 2022년 경기도 오산에서 시작하여 관객들로부터 호평을 받고 있는 위클리 클래식 페스티벌이 2024년 전국 8개 공연장에서 3월부터 7월까지 개최된다. <br>
공모를 통해 선정된 68팀 총 210명의 연주자들이 서울, 경기, 청주, 대구, 제주에서 92회의 공연을 진행할 예정이다. 정통 클래식을 기반으로 재즈, 국악, 뉴에이지, 남미 음악에 이르기까지 클래식 악기로 보여줄 수 있는 다양한 장르도 선보일 예정이다. <br>
참여하는 공연장은 경복궁 클래식(서울 종로), 갤러리 오누이(서울 동작), 마이스터클랑(경기 광명), MEG아트홀(경기 오산), AG아트홀(충북 청주), 프란츠홀(대구 남구), 오디토리움(제주 애월), 끌로드아트홀(제주 서귀포)이며 공연장별 객석은 최소 30석에서 최대 100석 이다.<br>
연주자의 호흡까지 느낄 수 있을 정도로 무대와 객석이 가까운 거리, 모든 공연에 있는 연주자의 해설로 관객과 연주자 사이의 장벽이 자연스럽게 무너지는 놀라운 경험을 하게 될 것이다. 이 축제를 통하여 클래식 음악이 주는 감동과 희열, 특별한 에너지를 경험하며 예술적 영향력을 펼치기를 기대해 본다. 
예매는 클래식 공연 예매사이트인 '파인스테이지(www.finestage.co.kr)'에서 가능하다.
행사내용:* 총 92회의 공연 <br>
* 공연장별 포스터 별도 첨부
",,
웨이뷰 유채꽃 축제,63012.0,주식회사 웨이뷰,0507-1312-8767,제주특별자치도 제주시 한림읍 옹포7길 25-3,33.4073196306,126.2526904416,"웨이뷰는 제주시 한림읍에 위치한 프리미엄 베이커리 카페이다. 2024년 봄을 맞아 유채꽃 축제가 열리고있다. 제주 봄의 꽃 유채, 시원한 파노라마 오션뷰, 맛있는 베이커리와 음료들을 웨이뷰에서 한번에 즐길 수 있다.<br>
웨이뷰는 지상 1층과 2층, 루프탑을 포함한 총 3층으로 운영되고있으며, 모든 층 전 좌석에서 파노라마 오션뷰를 느껴볼 수 있다. 또한, 웨이뷰에서 사용되는 모든 식재료들은 제주 농장에서 재배한 특산물을 엄선핸 선정했으며, 당일 생산, 당일폐기를 원칙으로 높은 퀄리티의 베이커리를 제공하는 것을 원칙으로 하고있다. 축제 기간동안에는 웨이뷰의 유채꽃 관련된 음료와 베이커리를 만나볼 수 있다.",주식회사 웨이뷰,0507-1312-8767,,,20240315.0,20240531.0,09:00~20:00,웨이뷰,,무료,,,,,,,,"행사소개:웨이뷰는 제주시 한림읍에 위치한 프리미엄 베이커리 카페이다. 2024년 봄을 맞아 유채꽃 축제가 열리고있다. 제주 봄의 꽃 유채, 시원한 파노라마 오션뷰, 맛있는 베이커리와 음료들을 웨이뷰에서 한번에 즐길 수 있다.<br>
웨이뷰는 지상 1층과 2층, 루프탑을 포함한 총 3층으로 운영되고있으며, 모든 층 전 좌석에서 파노라마 오션뷰를 느껴볼 수 있다. 또한, 웨이뷰에서 사용되는 모든 식재료들은 제주 농장에서 재배한 특산물을 엄선핸 선정했으며, 당일 생산, 당일폐기를 원칙으로 높은 퀄리티의 베이커리를 제공하는 것을 원칙으로 하고있다. 축제 기간동안에는 웨이뷰의 유채꽃 관련된 음료와 베이커리를 만나볼 수 있다.

행사내용:1. 메인프로그램 : 유채꽃관람<br>
2. 소비자 참여 프로그램 : 플리마켓 등<br>
3. 기타 내용 : 유채꽃 관련 음료 및 베이커리
",,
보은 벚꽃길 축제,28940.0,보은군,043-540-3392,충청북도 보은군 보은읍 이평리181-2,36.4814289276,127.72396191290001,"보은 벚꽃길 축제는 보은읍 보청천 벚꽃길 일원에서 펼쳐지는 축제로 '보은 빅쇼 열린콘서트'를 시작으로 '청춘을 보은 벚꽃버스킹' 등 다양한 문화예술공연이 펼쳐지며,소풍의 계절에 온가족이 함께 즐기는 벚꽃 피크닉 존과 풍성한 체험프로그램, '벚꽃길 자전거 문화축전', '한마음 벚꽃길 걷기 행사' 등 보청천 벚꽃길 따라 다양한 연계프로그램을 진행하여 관광객들에게 많은 볼거리, 즐길거리를 선사할 예정이다.",보은군,043-540-3392,,043-540-3392,20240329.0,20240331.0,09:00~21:00(변경 및 조정될 수 있음),보은교 하상,,무료,,,,,,,,"행사소개:보은 벚꽃길 축제는 보은읍 보청천 벚꽃길 일원에서 펼쳐지는 축제로 '보은 빅쇼 열린콘서트'를 시작으로 '청춘을 보은 벚꽃버스킹' 등 다양한 문화예술공연이 펼쳐지며,소풍의 계절에 온가족이 함께 즐기는 벚꽃 피크닉 존과 풍성한 체험프로그램, '벚꽃길 자전거 문화축전', '한마음 벚꽃길 걷기 행사' 등 보청천 벚꽃길 따라 다양한 연계프로그램을 진행하여 관광객들에게 많은 볼거리, 즐길거리를 선사할 예정이다.
행사내용:1. 메인프로그램 : 청춘을 보은, EDM DJ콘서트, 전국줌바댄스페스티벌, 보은사랑 벚꽃 버스킹, 버블&마술쇼 등<br>
2. 부대프로그램 : 키즈놀이존, 인생네컷포토부스, 캘리그라피, 천연염색체험등 각종 놀이 체험 부스 운영
                        가치플리마켓, 벚꽃피크닉존 등 벚꽃 마켓운영 <br>
3. 연계행사 : 빅쇼 열린콘서트, 벚꽃길 자전거 문화축전, 한마음 치매극복 벚꽃길 걷기행사<br>
4. 먹거리   : 푸드트럭존 운영(닭꼬치, 닭강정, 타꼬야끼 등)
",선택안함,선택안함
논산 강경젓갈축제,32930.0,논산시,041-730- 2973,충청남도 논산시 금백로 45강경 금강 둔치 일원,36.1575977477,127.0098123087,"대한민국 젓갈의 대표 고장 강경에서 강경젓갈과 상월고구마와 같은 지역 특산물을 한곳에서 만나볼 수 있는 강경젓갈축제가 10월 19일~22일 4일간 강경읍 금강 둔치 일원에서 진행된다. 대형 젓갈 · 고구마 비빔밥 퍼포먼스, 북콘서트, 핑크퐁공연, 버스킹을 비롯한 다양한 볼거리와 열기구 체험, 캠핑카, 맛깔젓 레시피 경연대회 등 남녀노소 즐길 수 있는 여러 체험 프로그램이 마련되어있다.",논산시,041-730- 2973,(재)논산문화관광재단,,20231019.0,20231022.0,10:00 ~ 22:00,강경 금강 둔치 일원,,무료,,,,,,,,"행사소개:대한민국 젓갈의 대표 고장 강경에서 강경젓갈과 상월고구마와 같은 지역 특산물을 한곳에서 만나볼 수 있는 강경젓갈축제가 10월 19일~22일 4일간 강경읍 금강 둔치 일원에서 진행된다. 대형 젓갈 · 고구마 비빔밥 퍼포먼스, 북콘서트, 핑크퐁공연, 버스킹을 비롯한 다양한 볼거리와 열기구 체험, 캠핑카, 맛깔젓 레시피 경연대회 등 남녀노소 즐길 수 있는 여러 체험 프로그램이 마련되어있다. 
행사내용:1. 메인프로그램 <br> - 젓갈 김치담그기 체험<br> - 맛깔젓 담그기 체험<br> - 고구마 맛깔 체험<br> - 젓갈 미식 100선<br><br>2. 부대프로그램 <br> - 1000원 젓갈고구마비빔밥<br> - 만물 도깨비 경매<br> - 핑크퐁 공연<br> - 박범신 & 김홍신 작가 북 콘서트<br><br>3. 참여 프로그램 <br> - 강경플로깅<br> - 어린이 팝업 놀이터<br> - 룰렛 이벤트<br><br>4. 기타 체험 프로그램<br> - 캠핑카 체험<br> - 강경 호텔 숙박 이벤트(공식 인스타그램계정 게시글 확인)<br> - 강경 하늘 전망대(열기구)<br> - 꼬마기차
",선택안함,선택안함
강진청자축제,59263.0,강진군,061-430-3354,전라남도 강진군 대구면 사당리74-1,34.5081947734,126.8017363337,"강진청자축제는 1973년 금릉문화제, 1996년 청자문화제에 뿌리를 두고 있으며 2009년 강진청자축제로 이름을 바꿔 전남의 축제로 자리잡았다. 작년 축제에 이어 이번에도 이른 봄으로 옮겨 개최하고 관광객들에게 화목가마 장작패기, 청자물레성형체험, 청자 플레이팅 등 다양한 볼거리와 즐길거리를 체험할 수 있다.",강진군,061-430-3354,강진군 축제추진위원회,,20240223.0,20240303.0,09:00 ~ 21:00,대구면 고려청자요지,,무료(부분 유료),,,,,,,,"행사소개:강진청자축제는 1973년 금릉문화제, 1996년 청자문화제에 뿌리를 두고 있으며 2009년 강진청자축제로 이름을 바꿔 전남의 축제로 자리잡았다. 작년 축제에 이어 이번에도 이른 봄으로 옮겨 개최하고 관광객들에게 화목가마 장작패기, 청자물레성형체험, 청자 플레이팅 등 다양한 볼거리와 즐길거리를 체험할 수 있다.
행사내용:1.공식행사(4종) <br>
- 무명도공 기원제, 청자촌 개장파티, 화목가마 불지피기, 개막행사<br><br>
2.대표행사(8종)<br>
- 강진청자'물레와 놀래', 전국 물레성형 경진대회, 강진명품청자아울렛, 청자플레이팅체험, 차와 도자의 만남, 명품청자판매관, 청자랑 키즈파크, 고려청자 반값 경매<br><br>
3.기획행사(3종) <br>
- 읍면화합행사'군민이랑 놀래DAY', 고려청자 학술심포지엄, 향우와 함께하는 청자의 밤<br><br>
4.문화행사(10종)<br>
- 흥부자 가요제, 어린이 브랜드뮤지컬, 봄마중 음악회, 시그널 뮤직타임, 경매와 놀래, MBC TV축하방송, 강진 문화예술인 초청공연, DJ뮤직타임, (야간)달빛 푸소클럽, 청자촌 폐장파티<br><br>
5.체험행사(20종) <br>
-  청자 입체퍼즐 만들기, 청자 탁본체험, 청자 도판체험, 청자 파편 모자이크, 어린이 자전거솜사탕, 청자아울렛 미션투어, 봄나물 캐기체험, 유채밭 포토존, 홍매화 포토존, 청자골 캠프파티, 화목가마 장작패기, 화목소원 태우기, 강진 치즈만들기 체험, 반값강진관광홍보체험, 작가와 함께하는 포토타임, 청자골 족욕체험, 고려에서 온 시간여행자, 전통놀이 체험, 대보름 전통먹거리 체험, 연날리기<br><br>
6.전시행사(7종) <br>
- 청자와 백자의 만남, 대한민국 청자공모전 수상작 전시, 고려청자 특별전'전라병영성', 강진 민간요 개발 신상품 전시, 한중 도자교류전, 한국민화뮤지엄 특별전, 에어조형물 청자캐릭터 전시<br><br>
7.부대행사(6종) <br>
-  청자골 향토음식관, 초록믿음 직거래장터, 고려음식특별관, 하멜촌 카페테리아, 메이드인 강진 라이브커머스, 지역사랑상품권 특별이벤트<br><br>
8.연계행사(1종) <br>
-  만덕산 백련사 동백축제	

",선택안함,선택안함
춘향제,55776.0,남원시,063-620-5770,전북특별자치도 남원시 요천로 1447 광한루,35.4021539472,127.3799713796,"남원시는 해마다 5월이면 춘향과 이몽룡이 처음 만난 날에 맞추어 <춘향제>를 개최한다. 1931년 음력 5월 5일 춘향제사를 지내면서 시작된 춘향제는 94년이라는 유구한 시간을 이어온, 대한민국의 가장 오랜 역사를 지닌 공연예술형, 시민참여형 축제이자 지역축제의 효시로 알려져있다.",남원시,063-620-5770,춘향제전위원회,,20240510.0,20240516.0,10:00~21:00,광한루원 일원,,부분유료,,,,,,,,"행사소개:남원시는 해마다 5월이면 춘향과 이몽룡이 처음 만난 날에 맞추어 <춘향제>를 개최한다. 1931년 음력 5월 5일 춘향제사를 지내면서 시작된 춘향제는 94년이라는 유구한 시간을 이어온, 대한민국의 가장 오랜 역사를 지닌 공연예술형, 시민참여형 축제이자 지역축제의 효시로 알려져있다.	
행사내용:■ (메인행사) 춘향무도회<br>제94회 춘향제 기간 내내 춘향, 몽룡, 향단, 방자, 변사또, 월매 등 춘향전 속 인물의 특징과 개성이 드러나는 전통 복장과 소품을 착용하고, 마치 조선시대의 춘향전 속으로 타임슬립하는 기분을 느낄 수 있는 시간을 만드는 프로그램 <br><br>■ (부대행사)<br> - 전통문화예술 공연 : 거리극 '갈까부다', 춘향선발대회, 춘향국악대전, 뮤지컬춘향, 판락페스티벌 등 <br> - 대동길놀이 : 시민팀, 전문공연팀, 전통예술팀 등 다양한 참가 팀의 끼와 매력을 축제장 곳곳을 누비며 표현하는 거리 퍼레이드 공연으로, 마음에드는 길놀이에 은근슬쩍 합류해도 아무도 말리지 않는 모두에게 활짝 열린 흥넘치는 프로그램<br>- 춘향, 런웨이 : 주한 외교사절, 외국인, 모델, 대학생, 시민과 관광객이 함께 전세계 각 나라의 전통의상을 직접 표현하는 거리 패션쇼<br>- 춘향, 페스타 : 춘향제 기간 동안 남원 농특산품 등을 저렴하게 구매할 수 있는, 지역 상가의 특별 할인 행사<br><br>※ 행사내용은 주최측의 사정에 따라 변경될 수 있음
",선택안함,선택안함
양양 송이연어축제,25021.0,양양군,033-671-3803,강원특별자치도 양양군 양양읍 남문리226-2,38.0733566436,128.6242258213,"1997년부터 이어온 양양의 대표축제인 송이축제와 연어축제가 올해 최초로 통합 개최한다. 가을철 양양송이 수확 시기에 맞춰 송이버섯을 테마로 지역민들과 관광객들이 함께 음식을 맛보고 물살을 거슬러오르는 연어와 함께 볼거리가 가득한 축제이다. 양양송이와 양양연어 콘텐츠를 통한 설악산, 동해바다, 남대천 등 자연환경을 접할 수 있다.",양양군,033-671-3803,양양문화재단,,20231004.0,20231008.0,10:00~21:30,"양양 남대천 둔치, 다목적광장, 전통시장, 퐁당퐁당 물놀이장",,"무료(일부 유료)<br>연어맨손잡기 20,000원",,,,,,,,"행사소개:1997년부터 이어온 양양의 대표축제인 송이축제와 연어축제가 올해 최초로 통합 개최한다. 가을철 양양송이 수확 시기에 맞춰 송이버섯을 테마로 지역민들과 관광객들이 함께 음식을 맛보고 물살을 거슬러오르는 연어와 함께 볼거리가 가득한 축제이다. 양양송이와 양양연어 콘텐츠를 통한 설악산, 동해바다, 남대천 등 자연환경을 접할 수 있다.
행사내용:대표프로그램<br>무대공연 : ""하나된 양양 새로운 시작"" 개막식, ""상인의 밤"", ""MZ랑 함께"", 봄,여름,가을,겨울 in 양양 애(愛), 스타 데이트(권인화와 함께), “again yangyang""<br>체험 프로그램 : 연어를 잡아라(연어맨손잡기), 카누체험, 보물찾기, 요가, 연어열차
",선택안함,선택안함
원주한지문화제,26478.0,사단법인 한지개발원,033-734-4739,강원특별자치도 원주시 한지공원길 151,37.3343736211,127.9353798084,"문화유산 한지의 문화를 선보인다. 5월 5일 19시 개막식에 진행되는 한지패션쇼를 비롯 ‘2023 종이의 숲’, 풀뿌리 한지등, 달빛 정원, 빛의 계단으로 이루어진 야외 한지등 설치 프로그램, 지역작가와 원주 특산물 장터인 ‘한지붕마켓’, 실외 이벤트인 '제기왕을찾아라'와 ‘전통놀이 플레이그라운드’,  ‘한지는 내친구’, 한국·중국·일본의 국제교류 협력 프로그램, 주말 버스킹, 원주한지테마파크 본관에서는 제23회 대한민국한지대전 수상작 전시를 진행한다.",사단법인 한지개발원,033-734-4739,원주한지문화제위원회,033-734-4739,20230505.0,20230514.0,,원주한지테마파크 일원,,"입장료: 무료 / 체험프로그램: 소원등 2000원, 온라인키트 10,000원",,기간내자유,전연령 가능함,,,,,"행사소개:문화유산 한지의 문화를 선보인다. 5월 5일 19시 개막식에 진행되는 한지패션쇼를 비롯 ‘2023 종이의 숲’, 풀뿌리 한지등, 달빛 정원, 빛의 계단으로 이루어진 야외 한지등 설치 프로그램, 지역작가와 원주 특산물 장터인 ‘한지붕마켓’, 실외 이벤트인 '제기왕을찾아라'와 ‘전통놀이 플레이그라운드’,  ‘한지는 내친구’, 한국·중국·일본의 국제교류 협력 프로그램, 주말 버스킹, 원주한지테마파크 본관에서는 제23회 대한민국한지대전 수상작 전시를 진행한다.
행사내용:1. 메인프로그램 : 한지패션쇼, 제23회 대한민국한지대전, 공공미술 프로젝트 한지는 내 친구, 빛의터널 풀뿌리 한지등, 달빛정원, 빛의계단, 종이의숲, 국제교류협력프로젝트<br><br>2. 부대프로그램 : 방구석한지체험, 라이브드로잉, 한지미술놀이터,소원등<br><br>3. 소비자 참여 프로그램 : 제기왕을 찾아라, 전통놀이 플레이그라운드, 스탬프투어, 종이접기놀이터, 포토콘테스트<br><br>4. 기타 내용 : 한지붕마켓, 버스킹공연
",선택안함,선택안함
이천쌀문화축제,17406.0,이천시,031-644-4135~7,경기도 이천시 공원로 48,37.179899125300004,127.44487020540001,이천쌀문화축제는 우리나라 주식이며 전국 최고의 미질을 자랑하는 이천의 대표적인 특산물인 쌀을 주제로 열리는 종합 문화관광축제이다. 어린세대가 전통 농경문화를 체험할 수 있는 축제의 한마당으로 다양하고 재미있는 각종 행사가 열린다.,이천시,031-644-4135~7,이천쌀문화축제추진위원회,,20231018.0,20231022.0,개막놀이 19일 14:00<br>폐막놀이 23일 18:00,이천농업테마공원,,무료,,,,,,,,"행사소개:이천쌀문화축제는 우리나라 주식이며 전국 최고의 미질을 자랑하는 이천의 대표적인 특산물인 쌀을 주제로 열리는 종합 문화관광축제이다. 어린세대가 전통 농경문화를 체험할 수 있는 축제의 한마당으로 다양하고 재미있는 각종 행사가 열린다.
행사내용:1. 메인 프로그램<br>  - 2천명 2천원 가마솥밥 : 초대형 가마솥에서 지은 2천인분의 이천쌀밥을 2천원에 푸짐하게 맛볼 수 있는 프로그램 <br>  - 무지개가래떡만들기 : 600m의 무지개 색 가래떡을 뽑아 관광객과 나누어 먹으며 가을걷이의 풍성함과 농촌의 정겨움을 느낄 수 있는 프로그램<br><br>  2. 부대 프로그램<br>  - 문화예술공연 : 개막놀이, 폐막놀이, 거북놀이, 마당극, 지역 문화예술 단체 공연, 동화인형극, 유치원 공연 등<br>  - 전시 프로그램 : 임금님표이천브랜드홍보관, 농경유물 전시, 전통음식 및 천연염색연구회 전시 등<br>  - 포토존 조성 : LED은하수, 다랭이논 등<br><br>  3. 소비자 참여 이벤트<br>  - 시식 행사 : 뻥튀기 시연 및 무료 시식 행사, 엿만들기 체험 및 시식 등<br>  - 체험 프로그램 : 이천쌀문화학교 운영, 찾아가는 서당 운영, 모내기, 탈곡, 볏짚 공예 체험 등<br>  - 참여 이벤트 : 노래자랑, 줄다리기, 라이스홀 경기, 윷놀이 등<br><br>  4. 기타<br>  - 이천쌀 및 쌀가공품 전시, 홍보, 판매 등
",선택안함,선택안함
