name,address,latitude,longitude,details,phone,time,offdate,parking,babycar,pet
대구 평화시장,대구광역시 동구 아양로9길 10,35.8830134,128.6192713,"대구광역시 동구 신암동에 위치한 전통시장이다. 1970년대 생겨나 50여 년을 이어져 오고 있는 대구평화시장은 80여 개의 점포로 이루어진 소규모 시장이자 상가주택 복합형 시장이다. 1970년대 개장 당시만 하더라도 평화시장은 크지 않았으며 70년대 후반 주변의 야산과 밭이 주택지가 되면서 시장의 모습을 갖추기 시작했으며 1980년대부터 시장이 활성화되었다. 규모는 그리  크지 않으며, 어딘가 내가 살고 있는 곳의 시장처럼 익숙하고 정겨운 시장이라 할 수 있다. 그러나, 최근 닭똥집 골목으로 크게 입소문을 타게 되면서 동대구역에 내려서 한 번쯤 들려 구경도 하고 닭똥집의 여러 버전도 함께 즐겨볼 만하다.",053-956-8413,"09:00~20:00(단, 점포마다 상이)",※ 점포마다 상이,가능(평화시장 공영주차장)<br>요금(최초 30분 600원 / 30분 초과시 10분마다 300원 추가),없음,없음
강화 풍물시장,인천광역시 강화군 강화읍 중앙로 17-9,37.74142524,126.4928438,"강화버스터미널에서 몇 걸음 걸어가다 보면, 풍물시장 건물이 한눈에 들어온다. 풍물시장은 강화 민속장 명소화 사업으로 현대화되어 2007년 신축되었다. 풍물시장 공터와 도로변에 300여 개의 좌판 시장이 열리며 인근에 강화 인삼센터와 토산품 센터가 있어 함께 돌아볼 수 있다. 시장 1층에는 풍물장, 회 센터가 있어 가격 흥정하는 재미와 싱싱한 회를 즐길 수 있고, 2층에는 풍물장과 식당이 있어 강화 여행길에 배고픔을 잊게 해 줄 맛난 먹거리와 볼거리가 있다. 2, 7일에는 풍물시장을 중심으로 강화읍 5일장도 열린다. 할머니들이 뒷산에서 캐오신 나물들이며 빨간 고춧가루며 각종 농작물들이 풍성하게 나온다. 강화 특산품인 화문석도 구경하는 재미도 쏠쏠하다.",032-934-1318,08:00~21:00,"매월 1, 3번째 월요일 (단, 장날 또는 공휴일인 경우 익일 휴무)",가능 (257대),불가,불가
소래포구 종합어시장,인천광역시 남동구 소래역로 12,37.39877499,126.7372005,"소래포구종합어시장은 인천 남동구에 위치한 어시장이다. 계절별로 싱싱한 활어를 경쟁력 있는 가격과 양으로 판매하여 많은 고객들이 방문한다. 봄철이면 소래포구에 배가 들어오는 날 바로 잡아 맛보는 꽃게를 즐길 수 있고, 김장철이면 맛깔스러운 젓갈들로 가득하다. 기존의 복잡하고 지저분했던 포구와 달리 깔끔하게 구획화된 현대식 어시장으로 해수정화시스템이 적용되어 고객들의 만족도를 높였으며, 냉·난방은 물론 넉넉한 주차공간과 함께 퀵&택배 서비스가 시스템적으로 구축이 되어 있어 고객에게 더욱 편리한 서비스를 제공한다.",032-719-1522,07:00~01:00,연중무휴,"가능 (240대)<br>- 상가 이용 시 2시간 무료, 이후 30분당 1,000원<br>- 15분당 1,500원<br>- 1시간 6,000원",없음,없음
포항 죽도시장,경상북도 포항시 북구 죽도시장13길 13 포항수산종합어시장,36.03646287,129.3681706,"포항 죽도시장은 50년전 갈대밭이 무성한 포항 내항의 늪지대의 노점상들이 들어서기 시작하여 형성되었다. 69년 10월 죽도시장 번영회가 정식 설립되었고. 현재 점포수가 1500여개에 달하는 경북 동해안 최대 규모를 자랑하는 재래시장이다. 최근 들어서는 대형 할인매장의 포항 진출로 어려움을 겪고 있지만, 죽도시장 상인들은 사이버 죽도시장을 개설하는 등 재출발을 다짐하고 있다. <br>포항의 중심지인 오거리에서 동쪽으로 500m 지점에 동해안 최대의 상설시장인 죽도어시장이 있고 수산물 위판장내에 횟집 200여개가 밀집되어 있어 사계절 저렴한 가격으로 동해안의 싱싱한 회를 살 수 있으며, 인근 상가에서 초장 등 재료값만 내면 바로 먹을 수도 있다. 신선한 제철 해산물로 만든 포항물회와 통통한 전복이 통째로 들어간 전복죽이 전국적으로 유명하며, 특히 겨울철에는 포항의 명물인 과메기를 맛볼 수 있다.<br>",054-247-3776,08:00 ~ 22:00,,주차가능 700대,없음,없음
롯데아울렛 광주월드컵점,광주광역시 서구 금화로 240,35.13362842,126.8748451,"롯데아웃렛 광주월드컵점은 광주광역시 서구에 위치하고 있다.  
식품에서 의류까지 다양한 브랜드를 저렴한 가격으로 만날 수 있는 쇼핑몰로 롯데마트 월드컵점과 공동으로 운영되고 있다. 또한 광주월드컵경기장, 수영장, 테스니장 등 체육시설과 문화시설이 갖춰져 있는 복합 쇼핑공간이다.",1577-0001,10:30~21:00 (식당가 라스트오더 20:00),홈페이지 참조 요망,가능,가능,없음
1913송정역시장,광주광역시 광산구 송정로8번길 13,35.13534072,126.7917329,"1913년부터 광주 송정역과 함께 명맥을 같이한 송정역 매일시장은 100년 역사를 간직한 유서 깊은 전통시장이다. 한때 생활에 필요한 식재료와 물건을 찾는 손님들로 북적거렸던 이곳도 1990년대 이후 우후죽순으로 생겨난 대형 마트에 밀려 여느 전통시장처럼 서서히 쇠퇴의 수순을 밟아 왔다. 이에 송정역 시장은 대형마트와의 ‘대립’이 아닌 ‘다름’을 인정하고 전통시장의 특색을 강화하는 변화를 모색하여 지켜야 할 유산으로 ‘시간’을 선택했다. 새로 증축된 KTX 송정역처럼 건너편 골목 송정역전 매일시장은 새 단장을 했다. 가게마다 예쁜 글씨 간판이 내걸렸고, 동네 호떡, 꼬치샵, 계란밥, 어묵, 고로케, 홍삼요거트 등 ‘시장’하면 떠오르는 음식들이 눈과 코를 자극하고 있다. 두부마을 옆 국수공장에서는 천 원짜리 잔치국수도 맛볼 수 있고, 전통적인 전라도 사투리를 이용해 만든 달력이나 공책 등도 눈길을 끌고 있다.",062-942-1914,평일 11:00~22:00<br>금요일~일요일 11:00~23:00<br>주류판매점 24:00<br>※ 점포 별로 상이함,"둘째주, 넷째주 일요일",가능(공영주차장 약 48대),불가,가능
남광주시장,광주광역시 동구 양림로 117,35.14006736,126.9207186,"남광주시장은 옛 남광주역이 있던 곳에 자연적으로 형성된 시장으로 온갖 해산물과 채소가 홍수를 이루었던 시장으로 역시 철거된 후 활기찼던 분위기는 많이 줄었다. 하지만 싱싱한 해산물을 사려면 남광주시장은 찾는 것은 아직도 유효하다. 새벽 2시에서 5시경까지 각 항구와 포구의 어판장에서 들어온 해산물은 시내의 타 시장이나 식당으로 팔려나간다. 해산물은 가격도 저렴하고 신선도가 뛰어나다. 그래서 남광주 시장은 횟집이 많이 몰려 있는 곳으로도 유명하며, 다른 곳에 비해 값이 싸고 그만큼 싱싱하기에 사람이 많이 찾고 있다.",062-226-1101,,"매달 1, 3번째 일요일",가능 (소형 140대),없음,없음
신세계사이먼 여주 프리미엄 아울렛,경기도 여주시 명품로 360,37.24593621,127.6123449,"신세계사이먼 여주 프리미엄 아울렛은 신세계사이먼이 2007년 오픈한 대한민국 최초의 정통 프리미엄 아울렛이다. 국내 최고 수준의 브랜드 구성과 이국적인 경관, 각종 편의시설, 다채로운 야외 이벤트 등 차별화된 기능을 제공하며, ‘온 가족이 함께 쇼핑과 여가를 동시에 즐길 수 있는 매력적인 공간’으로 아울렛의 품격을 한 단계 올려놓았다. 
여주 프리미엄 아울렛은 270여 개의 국내 최고 수준의 독보적인 브랜드 경쟁력을 갖추고 있다. 버버리, 구찌, 보테가베네타, 생로랑, 발리, 펜디 등 명품 브랜드가 60여 개에 달해 국내 프리미엄 아울렛 중 가장 많은 명품 브랜드를 보유하고 있다. 또한, 지방시, 로로피아나, 발렌시아가, 발렌티노, 브리오니, 까날리, 울리치 등 30개 브랜드는 오직 여주 프리미엄 아울렛에서만 만날 수 있으며, 분더숍, 비이커, 블러스, 갤러리아 아울렛 등 패션 트렌드 세터들의 발길을 모으기 위한 편집숍도 10여 개 보유하고 있다. 가족단위 고객을 위한 편의 시설도 뛰어나다. 약 270평 규모의 공간에 미끄럼틀, 그물망 등을 갖춘 ‘숲 속 놀이터’는 아이들의 단골 명소이다. 아이들에게 인기가 높은 회전목마, 미니 트레인, 바운스 스핀 놀이기구와 키즈카페도 갖추고 있다.",1644-4001,일반 매장 10:30~20:30<br>전문 식당가 11:00~20:30 (30분 전 주문 마감)<br>※ 일부 브랜드 영업시간 상이<br>※ 동절기(11~4월) 일반 매장 영업시간<br>- 평일(월~목) 10:30~20:30<br>- 주말(금~일) 및 공휴일 10:30~21:00,설날(구정) / 추석 당일 휴무,가능,가능,가능
서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 18,33.25017801,126.5632364,"서귀포 올레시장은 서귀포시에서 가장 큰 시장이며 1960년대 초반 자연발생적으로 생긴 재래시장으로 60여년 전통으로 서귀포 경제에 큰 밑받침이 되고있는 시장이다. 2001년 120m를 시작으로 현재 총620m에 달하는 아케이트상가를 설치하여 서귀포서민경제에 중추적인 역할을 담당하고 있으며 시장내부가 王자형으로 형성되어있어 쇼핑하기가 편리하다.
이곳 주차장은 1시간 무료주차시스템을 도입하여 고객에 최대한 편의를 제공하고 있으며, 시장에서 물건을 구입한 고객의 편의를 위해서 무료로 원하는 장소로 배달하는 택배시스템을 갖추고 있다. 또한 미래의 잠재고객인 청소년들을 위한 야외 공연장 및 분수대가 있는 공원을 갖추고 있다.<br>",064-762-1949 / 064-762-2925,하절기 07:00-21:00<br/>동절기 07:00-20:00,연중무휴,,불가,가능
목포 자유시장 (남진야시장),전라남도 목포시 자유로 122,34.79305343,126.4029507,"목포 자유시장은 상인들이 직접 적금운동을 벌여 세운 상인들의 시장이다. 
맛 좋은 먹을거리와 질 좋은 상품 때문에 목포뿐만 아니라 인근 지역의 고객들도 방문하여 매출이 높은 시장으로도 유명하다. “친절히 모시겠습니다”라는 문구와 함께 점포 이름이 적힌 명찰을 착용하여 고객감동을 위해 노력하고, 100% 교환·환불제도를 도입하여 고객만족을 높이고 있다. 또한 상인들의 결속력이 끈끈하여 자율적인 교육을 진행하고 있다.",061-245-1615,점포별 상이,점포별 상이,가능 (지하주차장),불가,불가
하동 화개장터,경상남도 하동군 화개면 쌍계로 15,35.18802958,127.6240859,"김동리의 소설 역마의 배경이 된 곳으로도 유명한 화개장터는 영호남의 접경에 위치하여 남해안의 수산물과 소금, 비옥한 호남평야의 곡물, 지리산록의 산채와 목기류들의 집산지로써, 하동포구의 발달된 수로를 통해 전국으로 유통되어 조선 중엽부터 해방 전까지 번성기를 맞아 전국적으로 손꼽히는 시장이 되었다. 그러나 교통과 유통구조의 발달로 쇠퇴하여 옛날 모습의 자취를 감추었다.
화개장터는 지리산에서 시작한 화개천과 섬진강이 합류하는 지점에서 열리던 전통적인 재래식 시장이며 5일장이 활발하게 이루어졌던 곳이다. 최근에는 상시시장이 개장되어 특별히 5일장이 따로 서지는 않는다.
&nbsp;조영남의 ""화개장터"" 노래로 유명해진 화개장터를 찾는 많은 사람들의 기대를 충족시키고 옛 정취를 느낄 수 있는 전통적인 모습으로 복원하기 위해 부지 2,540 여평에 사업비 16억원을 들여 재래식 장옥과 녹차전문상가 등 편의시설 조성하여 2001. 4. 5 제 9회 화개장터 벚꽃축제 개막과 함께 개장을 하여 상설시장으로 운영되고 있다.","화개장터 (화개면사무소) 055-880-6051<br>
관광안내소 055-883-5722<br>",09:00 ~ 18:00 (전화문의),연중무휴,,없음,없음
부산 자갈치시장,부산광역시 중구 자갈치해안로 52(남포동4가),35.09665117,129.0306042,"자갈치시장은 중구 남포동과 충무동에 걸쳐 있는 해안통으로 도심과 접하고 있어 시장기능과 위락기능을 겸하고 있을 뿐만 아니라 인근의 신동아 수산물시장, 건어물시장과 함께 부산지역의 성격을 가장 잘 보여주는 시장이다. 자갈치라는 지명은 자갈해안에서 비롯되었다는 설과 활어만을 취급한다고 하여 활어로서 많이 거래되는 ‘자갈치’란 어종의 명칭에서 유래되었다는 설이 있다.

자갈치 해안가 도로변에는 판매기장수 아주머니들이 고등어, 멍게, 고래고기 등을 파는 진귀한 모습을 볼 수 있고 1980년에 문을 연 신동아수산물시장 1층에는 활어 판매와 즉석에서 싱싱하고 맛있는 회를 맛볼 수 있으며 2, 3층에는 건어물 및 해산물 판매와 생선횟집 이 자리하고 있어 새로운 자갈치 시장의 명물로 떠오르고 있다. 이곳의 장이 성장하게 된 것은 1889년 일본인들이 자국어민을 보호하기 위해 인근에 부산수산주식회사를 세우면서부터였다. 그곳으로 상인들이 몰리자 자갈치시장 상인들도 서서히 근대화를 모색하게 되었는데, 1922년에 이르러 부산 어업협동조합이 남포동에 건물을 짓고 위탁판매 사업을 시작함으로써 자갈치시장의 상인들이 구심점을 찾아 모여들었다. 이에 따라 부산의 어시장은 북항의 부산수산주식회사와 남항의 부산어협 위탁판매장으로 양분되었는데, 그 뒤 부산수산주식회사는 국내 최대의 어시장인 현재의 부산 공동어시장으로 발전하게 되었고, 남항에 출어하는 영세어선들의 어획물을 다루는 영세상인들이 부산어협 위탁판매장 주변에 모여 지금의 자갈치시장을 이루었다.",051-245-2594,05:00~22:00,"매달 1, 3번째 화요일","가능 (121대)<br>[소형]<br>- 10분 당 700원<br>- 1일 주차권 21,000원<br>※ 자세한 사항은 홈페이지 참조 요망",없음,없음
AK&홍대,서울특별시 마포구 양화로 188 애경타워,37.55779878,126.9265121,"AK는 홍대 입구역 4번 출구 바로 앞에 있는 대형 복합 쇼핑몰이다. 역에서 가까워 대중교통을 이용하기 좋고 대형 주차장도 있어 차량을 가지고 방문해도 편리하다. 주차 요금은 구매 가격에 따라 1시간에서 3시간까지 무료 적용된다. 오전 11시부터 오후 10시까지 영업하며 연중무휴이다. 다양한 종류의 의류 브랜드들이 입점해 있고 의류 외에도 다양한 가구, 향수, 액세서리 같은 소품 숍이 있고 디저트 카페, 식당 등이 있다. 홍대 입구역 근처라 다양한 맛집, 놀 거리를 찾아 외국 관광객들도 많이 찾는 곳이다.",02-789-9800,11:00 - 22:00,연중무휴,있음 / 주차요금은 쇼핑 가격에 따라 다름,,
바니스튜디오 안경(명동역점),서울특별시 중구 명동8가길 21 (충무로2가),37.5619327,126.9862788,"바니스튜디오는 젊은 세대에게 적합한 새로운 브랜드로 고품질의 안경과 컬러 콘택트렌즈를 보유하고 있다. 바니스튜디오의 안경원들은 영어, 중국어, 일본어를 구사할 수 있어 통역할수있는 직원이 상주한다. 바니스튜디오와 렌즈타운의 콜라보레이션은 매우 인기 있는 컬러 콘택트렌즈이다. 500가지 이상의 콘택트렌즈를 보유하고 있다. 서울 시내 호텔까지 배송도 가능하다. 또한, 외국인이 세금 환급 혜택을 더 많이 받을 수 있다(면세). 바니스튜디오에서는 15분 안에 처방 안경을 만들 수 있다. 또한 무료 커피와 스낵을 제공하는 대기 라운지 바도 있다.",02-774-7748,10:30 ~ 22:30,,가능(전화문의),,
신세계사이먼 파주 프리미엄 아울렛,경기도 파주시 탄현면 필승로 200,37.76892565,126.6964911,"신세계사이먼 파주 프리미엄 아울렛은 이국적인 경관, 다양한 카테고리의 브랜드, 공연•편의 시설 등으로 쇼핑의 재미와 편리함을 느낄 수 있는 명실상부한 경기 북부 지역 쇼핑 관광 랜드마크이다. 서울에서 30분 남짓 거리에 위치해 접근성이 좋을 뿐만 아니라, 아울렛 주변으로는 헤이리 예술마을, 임진각 평화누리 공원, 파주 영어마을 등 다양한 즐길거리와 파주 장단콩 등 별미 음식도 가득하다.<br /><br />1920~30년대 미국 다운타운을 연상시키는 아르데코 건축양식으로 지은 분수 광장, 시계탑 등은 방문객들의 눈길을 사로잡기에 충분하다. 아울렛 곳곳에 장식된 포토존에서는 기념사진을 찍기도 좋고, 시즌에 따라 키즈 패션쇼나 플리마켓 등 고객이 직접 참여할 수 있는 행사들도 진행되어 재미를 더한다. 무엇보다 해외 유명 디자이너 브랜드부터 캐주얼, 남성, 아웃도어, 키즈 브랜드까지 220여개의 다양한 브랜드 구성은 고객 모두가 즐거운 쇼핑을 즐기기에 부족함이 없다.<br /><br />아르마니, 토리버치, 코치, 에르메네질도 제냐, 이세이미야케 등의 해외 유명 의류와 분더샵, 라움, 세컨드런 등의 편집샵을 만나볼 수 있으며, 20~30대 여성을 위한 럭키슈에뜨, 스튜디오 톰보이, 미샤 등의 브랜드를 상시 할인된 가격으로 구매할 수 있다. 특히, 르크루제, 스타우브, 테팔, 헹켈 등의 생활 브랜드와 소니, 필립스 등의 가전 브랜드가 강화되어 가족단위 고객에게도 안성 맞춤이다.<br>",1644-4001,10:30~20:30<br>*동절기(11~4월) 일반 매장 영업시간 안내 - 평일(월~목) 10:30~20:30 / 주말(금~일) 및 공휴일 10:30~21:00,명절 당일,주차시설 완비,가능,가능
