명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
전쟁과여성인권박물관,3967,,,서울특별시 마포구 월드컵북로11길 20(성산동),37.5600955212,126.9148547823,"전쟁과여성인권박물관은 일본군 위안부 피해생존자들이 겪었던 역사를 기억하고 교육하며, 일본군 성노예제 문제 해결을 위해 활동하는 공간이다. 지금도 일어나고 있는 전시 성폭력 문제에 관심을 가지고 전쟁과 여성 폭력 없는 세상을 위해 연대하고 행동하는 박물관이다. 안전하고 평화로운 세상에서 아이들이 자라길 바랐던 일본군 위안부 피해생존자들의 오랜 염원은 국내외 시민들의 공감을 불러일으켜 모금 활동으로 이어졌고 마침내 2012년 5월 5일 어린이날, 그 염원으로 전쟁과여성인권박물관은 문을 열었으며 일본군 성노예제 문제 및 해결 운동을 위해서 체계적으로 수집되고 보존된 기록을 전시를 통해 알리고 기억하게 하여 전쟁과 폭력이 없는 세상을 위해 노력하고 있다.",,,,10:00~18:00(입장 마감 17:00),월요일 / 일요일 / 설·추석 연휴 / 성탄절,"대인(만19세-64세) 5,000원 / 단체 4,000원<br/>
소인(만7세-18세) 3,000원 / 단체 2,000원<br/>
무료: 만 6세 이하, 만 65세 이상, 장애인, 박물관 후원회원, 정의기억연대 후원회원, 박물관 기증자<br/>
※ 단체: 10인 이상",,,없음,,없음,불가,없음,"한국어 안내서비스:도슨트 안내 가능
예약안내:10인 이상 단체관람 및 정기 관람 시간 외의 방문 시에는 반드시 사전 예약
"
한국문인인장박물관,32457,,,충청남도 예산군 광시면 운산2길 111-6,36.5471985841,126.7500752797,"한국문인인장박물관은 예산 광시한우거리 인근의 운산리에 2001년에 개장한, 도장을 주제로 한 박물관이다.
이 박물관은 문인들이 자신의 책을 발행한 뒤 그 책 뒤에 낙관처럼 사용했던 인장들을 모아 전시한 이색 전시공간이라 할 수 있다. 또한 한국 근·현대 문학사를 주름잡았던 대표적인 문인들의 인장이 망라되어 있다. 대표적으로는 청록파 시인인 박목월, 박두진, 조지훈 외에 김동리, 서정주, 오영수 작가의 도장 등 1,000여 점이 넘는 도장을 소장하고 있다. 장편소설 [악어새]의 작가인 이재익 관장은 오영수의 제자이기도 하며, 스승으로부터 선물 받은 흥선대원군의 인장이 이 박물관을 설립하는 단초가 되었다고 한다.
이곳은 대로변에서 다소 떨어진 농촌에 있어 자연경관이 여유롭고 아름답다. 주변에는 광시한우거리 외에 예산황새공원, 봉수산, 임존성, 봉수산자연휴양림, 예당저수지(예당관광지) 등이 있어 연계하여 관광할 수 있다.",,"부지면적 3,772㎡ / 건물연면적 340㎡ / 전시실 2실 100㎡ / 사회교육실 1실 45㎡",150명 수용 가능,"09:30~16:30<br>
※ 변동될 수 있으니 사전 문의",일요일 / 월요일 / 공휴일,무료,,약 1시간,가능(소형 10대 주차 가능)<br>요금(무료),무료,없음,없음,없음,"소장품현황:1,230점
사업내용:문인 인장 관련 유물 소장 및 전시, 각종 행사 개최
"
이스탄불문화원,6236,,,"서울특별시 강남구 테헤란로26길 12리틀스타빌딩 2,3층 (역삼동)",37.499424183,127.0358454756,"터키이스탄불문화원은 1998년 터키인에 의해 강남에 설립되었다. 한국과 터키 간의 상호이해를 증진시킬 목적 아래 터키 관련 도서, 영상자료 및 기타 문서의 열람, 터키 현지의 소식을 알리는 간행물을 전시하고 있다. 또한, 문화적 교류의 촉진을 위한 업무를 비롯한 팰로쉽 등 학술적 교류사업, 터키어 강좌 운영, 한국과 터키 간의 관광 산업 육성을 위한 다양한 프로그램을 실시하고 있다. 
터키 문화를 보다 쉽게 접할 수 있도록 원데이 클래스를 진행하는데, 다양한 터키의 음식이나 공예품 만들기를 통해서 보다 쉽게 터키의 문화를 이해하고 접할 수 있도록 하고 있다. 터키이스탄불문화원은 수도권 지하철 서초역 2번 출구에서 약 290m 떨어진 곳에 위치하고 있다.",,약 396.696m²,,10:00~17:00(휴게시간 12:00~13:00),매주 일요일,강습마다 상이,,,불가,,없음,불가,없음,"체험프로그램:[터키 문화 관련 강습]<br>
- 쿠킹클래스 / 아트클래스 / 컬쳐 아뜰리에 / 터키어강습 
사업내용:경제교류, 번역/통역, 배낭여행, 여행 상담, 유학 상담 등
예약안내:* 5명 이상 단체 관람은 전화 예약 후 방문<br />
* 상담안내 - 유학, 연수, 여행 및 기타 상담 (평일 - 방문전 전화예약 필수 02-3452-8182)
"
판교박물관,13473,,,경기도 성남시 분당구 판교로 191(판교동),37.4010366713,127.09557615770001,"2013년에 개관한 판교박물관은 판교 개발 당시 발굴된 한성백제 돌방무덤 9기와 고구려 돌방무덤 2기의 보존 및 활용을 위해 건립된 박물관으로, 삼국시대 유적을 비롯하여 판교에서 출토된 유물들을 통해 성남의 역사와 문화를 알리기 위해 조성되었다. 
판교박물관은 지하 1층, 지하 1층으로 구성되어 있으며 전시실은 상설전시실과 수장형전시실로 이루어져 있다. 지하 1층 상설전시실에서는 성남의 유구한 역사를 보여주고 고대의 생활과 문화를 알아볼 수 있는 자료인 백제·고구려 돌방무덤과 토기가 전시되어 있다. 수장형전시실의 경우 국가에 귀속된 문화재를 보관하고 관리하는 곳으로, 성남지역 문화재 조사를 통해 발굴된 출토유물 5,1420점이 있다. 지상 1층 전시의 경우 판교 신도시 개발 전 문화재 조사를 통해 출토된 유물을 전시하고 있다. 전시유물로는 구석기시대 석기, 신석기시대 토기를 비롯해 고려청자, 불상, 청동거울 등이 있으며 이를 통해 당시 판교지역에 거주하였던 이들의 생활상을 엿볼 수 있다. 
판교박물관의 대표적인 교육 프로그램으로는 나만의 청동거울 만들기와 문화재 보존과학자 체험 활동과 박물관 관련 진로 탐색을 할 수 있는 박물관과 사람들이 있으며, 온라인 프로그램으로는 박물관 탐험대, 판교박물관 유물이야기 등이 있다.",,"부지면적975㎡, 건축연면적 1,449㎡(지상1층, 지하1층)",최대 100명,09:00~18:00 (17:30 입장마감),월요일 / 공휴일,무료,,약 1시간,"가능 (일반 14면, 장애인 1면)",무료,없음,불가,불가,"체험프로그램:나만의 청동거울 만들기 / 판교박물관 유물이야기 
사업내용:성남시 발굴 유적 및 유물 전시 및 교육
소장품현황:* 주요유적 : 총 23기<br />
- 판교박물관 : 4∼5세기 한성백제 및 고구려 석실분 등 총 12기<br />
- 야외유적지 : 총 11기(판교근린공원, 낙생대공원 내 유적)<br />
* 주요전시유물 : 총 200여 점 
대관안내:예약 시 가능<br />
※ 문의연락처 031-729-4537
예약안내:개별관람 - 사전예약없이 관람
단체관람 - 온라인 사전예약 필수, 현장접수 불가  (*회차당 30명 접수 가능)
한국어 안내서비스:[전시해설 예약]<br />
단체(20명 이상) : 1층 안내데스크 / 10시, 14시 / 홈페이지 및 전화예약 (희망일 3일 전)<br />
개인(희망관람객) : 1층 안내데스크 / 11시, 15시 / 당일 현장접수
"
나폴레옹갤러리,13487,,,경기도 성남시 분당구 대왕판교로645번길 36(삼평동),37.4004090842,127.10211447,"1%의 가능성을 확신으로 바꾸는 긍정의 힘, 나폴레옹 보나파르트가 직접 착용했던 그의 상징 바이콘(이각모)과 그의 숨결이 담긴 유물들을 전시한다. 아시아 최초이자 유일한 나폴레옹의 실제 유물을 전시하고 있으며, 전시 해설자가 상주하여 의미와 가치에 대한 이해를 돕는다. 코르시카 섬 출신 소년이 황제가 되기까지의 열정과 도전 정신을 전하고자 한다. 긍정의 힘과 도전 정신을 어린이에서 어른에 이르는 모든 관람객이 긍정의 힘을 통하여 미래에 도전하고, 변화하는 삶을 꿈꾸기를 희망하며 개관하였다.<br>",,전시면적 85.25㎡(지상 1층),약 30명,12:30 ~ 18:00,매주 월요일,무료,,약 30분,주차 가능,"30분 1,500원 (추가 10분 500원)(주말 무료, 평일 유료)",없음,불가,없음,"소장품현황:
예약안내:[단체관람(10인이상] 전화/홈페이지에서 관람일 2일전 사전신청
외국어 안내서비스:예약에 따라 진행
외국인 예약안내:전화/홈페이지 예약 가능
한국어 안내서비스:매일 수시 진행
"
서울무역전시컨벤션센터(SETEC),6287,,,서울특별시 강남구 남부순환로 3104(대치동),37.4958252427,127.0715423291,"서울무역전시컨벤션센터(SETEC)는 전문 전시회, 박람회, 국제회의, 이벤트, 문화공연 등 다양한 수요의 전시컨벤션 시설이다. 국제적 수준의 전시 개최 등을 위한 공간 연출이 가능하고, 다양한 부대 시설 및 지원시설과 편의시설 등을 구비하고 있다. 
서울 강남의 교통요지에 자리한 SETEC은 대지면적 33,678㎡, 건축 연면적은 11,019㎡ 규모로 총 3개의 전시실과 5개의 회의장으로 구성되어 있다. 대규모 전시뿐 아니라 중·소규모 회의 운영까지 가능하며 매년 70여 개의 전시회를 개최하고 있다. 전시 기간 동안은 협소한 주차장으로 인해 내부가 매우 혼잡하므로 지하철 3호선, 분당선 등 대중교통 및  주변 공영주차장을 활용하면 좀 더 편리하게 전시를 관람할 수 있다.
SETEC은 수도권 지하철 학여울역 1번 출구 바로 앞에 위치해 있다.",,,"국제회의장 300석(이동식 40석 포함), 컨벤션홀1 100석, 컨벤션홀2 100석, 중회의실 30석",전시 / 박람회마다 상이함,연중무휴,전시 / 박람회마다 상이함,,,있음(전시회 개최 기간은 주차 공간 여유 없음),"5분 300원 / 1시간 3,600원 / 1일권 15,000원",없음,불가,가능,"대관안내:02-2187-4600
"
경기여고 경운박물관(서울),6324,,,서울특별시 강남구 삼성로 29,37.4867511901,127.06567645290001,"강남구 경기여자고등학교 내에 있는 경운박물관은 우리나라 근세 복식문화 전문박물관으로 경기여고 동문회를 중심으로 운영되고 있다. [근세 복식과 우리 문화]라는 주제로 한 경운박물관의 개관전은 기존 박물관에서도 보기 힘든 근세 왕실 복식과 여성 속옷, 아동 복식 소장품과 전시물로 많은 관심과 주목을 받았다. 
경운박물관은 현재 1만여 점의 유물을 소장하고 있으며 매년 2회 이상의 기획 전시를 개최하는 등 전문박물관으로 성장하고 있다. 또한, 매년 박물관 교육을 실시하여 새로운 지식과 기운을 불어넣고 있으며 전문성을 갖춘 도슨트와 전문위원들의 활동으로 더욱 창의적인 박물관으로 발전하고 있다. 이곳에서는 동문과 일반인 모두를 성인 아카데미(경운 아카데미)와 전시와 연계한 학생 교육 체험프로그램(길위의 인문학)을 통해 세대 간 대화와 소통의 장을 만들어 가고 있다. 경운박물관은 수인분당선 개포동역 7번 출구에서 약 100m 떨어진 곳에 위치하고 있다.",,"부지면적 482㎡, 건축연면적 990㎡<br />
전시면적 339㎡(상설전시실 147㎡, 기획전시실 192㎡)",,10:00~16:00 (전화문의),일요일 / 공휴일,무료,,약 30분,있음(박물관 주차장),"2,000원",불가,불가,불가,"소장품현황:약 8,000여점
예약안내:전화 예약 가능 02-3463-1336
외국어 안내서비스:외국어 전시해설(영어, 일어, 중국어, 불어) 가능<br />
수요일 오전 또는 전화 예약 후 방문<br />
02-3463-1336
"
대전문학관,34539,,,대전광역시 동구 송촌남로11번길 116(용전동),36.3566825048,127.4372742959,"대전문학관은 대전의 문학사를 정립하여 문학 전통을 계승하고, 지역 문인들의 작품과 문학 사료를 체계적으로 보존, 관리하는 곳이다. 더불어 시민을 위한 전시 및 교육, 문학 행사를 운영하는 문화 향유 공간이자 문인의 창작과 활동을 지원하는 만남의 장이다. 시민 모두가 문학으로 꿈꾸는 삶이 될 수 있도록 대전문학관울 만들어 나갈 것이다.",,,,10:00 ~ 17:00,"매주 월요일, 1월 1일, 설날 및 추석 연휴",무료,,,있음(소형 8대),,없음,없음,없음,
상촌재,3035,,,서울특별시 종로구 자하문로17길 12-11 상촌재,37.5819161883,126.96963805979999,"상촌재는 경복궁 서측에 조성된 한옥문화공간으로, 전통문화의 우수성을 알리는 전시와 함께 한복, 한글, 전통공예 등 한문화 콘텐츠 활성화를 위한 공간이다. 장기간 방치된 경찰청 소유의 한옥 폐가를 종로구에서 매입해 1년여에 걸쳐 복원하고 2017년 6월에 개관했다. 19세기 말 전통한옥 방식으로 복원된 공간으로, 전통의 형식 속에서 현재의 가치를 잘 담아낸 건축물로 평가받고 있다. 
우리나라의 고유한 주거문화를 경험하는 동시에 온돌의 우수성을 엿볼 수 있는 전시 공간이 있으며, 한복과 공예 그리고 절기 등 다양한 전통문화를 체험할 수 있는 프로그램을 운영하고 있다. 대표 프로그램으로는 전통공예 강좌인 상촌재에서 만나는 한문화, 사계절에 따라 변화하는 한국 전통 의식주를 감상과 체험할 수 있는 한옥에서 배우는 전통 의식주, 상촌개를 소개하고 옛 주거문화를 알려주는 해설 프로그램인 상촌재 도슨트 등이 있다.",,,,09:00~18:00,월요일 / 공휴일,무료 (단체 관람 시 사전예약 바람),,,,,,,,"체험프로그램:상촌재에서 만나는 한문화 / 한옥에서 배우는 전통 의식주 / 상촌재 도슨트 
"
스페인책방,4625,,,서울특별시 중구 퇴계로36길 29 (필동2가)기남빌딩 302호,37.5605996785,126.9950780118,"스페인책방은 국내 유일의 스페인 전문 책방으로 스페인 문화권의 문화와 예술을 소개한다. 간판도 없고 엘리베이터도 없는 가파른 계단의 건물 5층에 위치하고 있다.
다른 곳에서는 찾아보기 어려운 스페인, 중남미 관련 책들과 스페인에서 온 에코백, 달력, 키링 등의 소품도 판매한다. 또한 스페인책방에서 자체 제작한 스티커, 달력, 포스터, 메모지 등도 구입할 수 있는 곳으로 여행을 온 것처럼 색다른 기분을 느낄 수 있는 곳이다. 
이 밖에도 2020년 하반기부터 진행 중인 팟캐스트 [스페인책방 라디오: 5층인데 603호]를 통해 스페인과 중남미 이야기, 책 이야기, 책방 소식 등을 전해 들을 수 있다.",,,,[평일] 14:00~20:00 / [토요일 / 공휴일] 13:00~18:00,일요일,,,,,,,,가능,
인사센트럴뮤지엄,3145,,,서울특별시 종로구 인사동길 49 (관훈동)B1,37.574520076,126.98356755540001,"인사센트럴뮤지엄은 2019년 개장한 인사동 복합문화공간인 안녕인사동 지하 1층에 자리한 전시장이다. 가족 동반 관람객이나 젊은 층 취향에 맞는 전시들을 선보이는 곳이다. 
대표적인 전시로는 초현실주의 거장인 르네 마그리트 특별전, 차·공예 박람회, 미니언즈 특별전 그리고 세계 최초 미디어 아트 전시인 하리보 골든베렌의 100주년 생일 기념전 등이 있다. 폭넓은 주제의 전시를 선보이는 곳으로, 멀티미디어를 이용하고 다양한 테마 공간들로 전시를 구성해 실험적이고 색다른 전시를 경험해 볼 수 있다.",,,,10:00~20:00,연중무휴,전시회별 상이,,,있음,,,,,
갤러리미르,3062,,,서울특별시 종로구 율곡로1길 40 (사간동),37.5776613265,126.98073161319999,"갤러리미르는 규방공예 작품 전시를 보고 직접 전통공예 체험도 할 수 있는 갤러리 공방으로, 섬유 공예를 연구하는 정은자 장인의 공방이다. 미르는 순수 우리말로 [용] 의미한다.
북촌 현대미술관 옆 한옥마을에 자리하고 있으며, 다양한 전통 바느질 작품을 볼 수 있다. 한 땀 한 땀에 정성을 담아 작업한 작품들로 전통의 맥을 잇는데 노력하고 있다. 공방에 전시되고 있는 생활용품, 보자기, 자수 등을 구매할 수 있으며, 직접 체험할 수 있는 규방 공예 프로그램으로는 꽃잎 주머니와 조각보 브로치 만들기가 있다.",,,,11:00~19:00,,"[입장료] 무료 / [전통체험] 30,000원",,,없음,,,,,"체험프로그램:[전통체험] 꽃잎주머니 15,000원 / 조각보 브로치 15,000원 
"
바니베어 뮤지엄,38117,,,경상북도 경주시 보문로 280-34 (북군동),35.8519070016,129.27766991459998,"경주시 북군동에 있는 바니베어 뮤지엄은 실바니안 패밀리와 테디베어의 합작으로 만들어진 박물관으로 실바니안 한국 지사에서 공식으로 인정한 곳이다.
테디베어를 이용하여 박혁거세의 탄생과 첨성대, 석굴암, 불국사 경주의 역사와 유적지를 알 수 있는 디오라마가 설치되어 있는 전시장과 전 세계 어린이들의 사랑을 받는 실바니안 패밀리 마을이 조성되어 있다. 다람쥐, 토끼, 강아지, 코알라, 코끼리들의 병원, 유치원, 마켓, 발레, 학교 등등 아기자기하고 섬세한 실바니안 타운은 동물에 호기심을 가지는 어린이부터 어른까지 그 매력에 안 빠질 수가 없다. 아이들이 체험할 수 커다란 실바니안 하우스와 초콜릿 체험, 상상력을 자극하는 우주 테디베어, 공룡 전시까지 모든 어린이가 계절과 날씨에 구애받지 않고 즐길 수 있는 실내 공간이다.",,,500명,10:00~19:00 <br> ※입장마감 18:20,연중무휴,"12,000원","군인 / 경찰 / 유공자 / 장애인 / 경주시민 할인 <br> ※성인, 청소년, 어린이(35개월 이상) 동일 <br> ※본인확인 신분증 지참시",40분,있음(소형 70대 / 대형버스 20대),무료,,가능,가능,"체험프로그램:만들기 체험 <br> ※화, 수, 목 운영 안함
예약안내:단체만 가능
한국어 안내서비스:가능
"
순천곤충박물관,57972,,,전라남도 순천시 해룡면 비래길 95,34.9559681592,127.5419519042,"순천곤충박물관장인 송국 박사는 평생을 곤충 연구에 전념해 왔으며 그 학술적 지식을 기반으로 실내 전시관은 물론이고 야외 숲 현장에서 자라나는 미래 세대 어린이들과 항상 동행하며 생생한 곤충 세계로 안내한다. 곤충 박사가 직접 진행하는 곤충 표본 전시해설과 탐사활동은 하루 3차례 (1차 10:00~12:00, 2차 13:00~15:00, 3차 15:00~17:00) 진행된다.
탐사 활동 준비물은 긴팔옷, 긴바지, 운동화나 장화를 신어야 하며 모자는 필수이고 기타 포충망 등 탐사 장비는 박물관에서 제공한다. 곤충생태탐사를 하기 전에 올바른 곤충채집 방법을 익힌 후, 박물관 앞의 제1 곤충생태탐사장인 나비먹이식물원을 지나 제5 곤충생태탐사장까지 왕의산 숲 속으로 들어가 채집활동을 하게 된다. 채집된 곤충은 송국 박사의 설명과 함께 돋보기로 자세히 관찰 후 다시 자연으로 돌려보내 준다. 이런 과정에서 체험자들은 생명과 자연의 소중함을 배우게 된다. 생명 존중 교육과 가족 동반으로 교육과 휴식을 함께 즐겁고 알찬 하루를 보낼 수 있다.
비와 강풍, 겨울 등 야외 탐사가 어려울 때는 실내 곤충표본 제작, 곤충 점묘 도감 만들기 등의 체험 프로그램으로 대체하여 진행된다.",,,1회 50명(3회차 150명),10:00~17:00,매주 월요일 / 화요일,"개인 18,000원 / 단체 15,000원",24개월 미만은 무료,2시간 이내,있음(대형버스 20여 대 주차 가능),무료,,,,
태안 농업 전시 체험관,32150,,,충청남도 태안군 태안읍 송암로 523,36.7330250948,126.3060965614,"태안군 송암로 태안농업기술센터에 위치한 농업전시체험관은 다양한 체험을 즐길 수 있으며 다양한 학습과 전시 등을 통해 농업의 소중함을 알 수 있는 곳이다.
1층에 전시체험관에는 전시존, 영상존, 체험존이 있고 커뮤니티룸에는 농업의 역사 갤러리, 미니 도서 휴게공간이 있다.  또한 옥상에도 옥상 힐링 존과 옥상체험존이 있어 다양한 체험과 휴식이 가능하다.
전체를 둘러보는데 소요되는 시간은 1시간~1시간 30 분 정도이며 전시체험관에는 전시뿐 아니라 농구 게임, 만들기 트램펄린, 포토존등 다양하게 체험해 볼 수 있다. 모든 체험은 무료로 진행되며, 전화 예약 후 관람이 가능하다.",,,,10:00~17:00,주말 / 공휴일,무료,,1시간 30분,가능<br>요금(무료),,,,,"체험프로그램:체험존(옛날농사체험 / 곤충만들기체험 / 작물촉각체험 / 스마트팜체험)
"
백암아트홀,6173,,,서울특별시 강남구 테헤란로113길 7(삼성동),37.5103790088,127.066031307,"강남구 테헤란로 강남소방서 맞은편에 2004년 개관한 백암아트홀은 417석 규모의 극장이다. 다양한 공연이 가능한 가변무대가 갖춰져 있어 연극, 뮤지컬, 콘서트, 무용 등 여러 장르의 공연이 가능하다. 백암아트홀에는 다양한 공연지원시설이 있는데, 개인 분장실과 단체 분장실이 있으며, 디지털 피아노와 연습용 거울을 갖춘 리허설룸이 있다. 복층구조로 된 공연장 1층에는 장애인석을 포함한 총 309석의 객석이 있으며, 2층에는 108석의 객석이 있다. 특히, 젊은이들이 많이 찾는 강남의 삼성동에 위치해 있어 20대~30대를 위한 공연을 많이 한다. 
백암아트홀은 주차 시설이 협소하여 가급적 대중교통을 이용하는 것이 편리하며, 서울 지하철을 이용할 경우 2호선 삼성역 8번 출구로 나와 도보로 3~5분 이동하면 된다.",,,417명,공연마다 상이,공연마다 상이,공연마다 상이,,,"있음(주차타워 40대, 평지 10대 주차 가능)","공연시작 1시간 전부터 공연직후까지 4,000원 / 이후 추가요금 부과",없음,불가,가능,"대관안내:* 대관장소 : 백암아트홀 공연장(417석-1층/2층) 및 부대시설<br />
* 문의 02-559-1333
예약안내:[인터넷 예약]<br />
- 공연에 따라 기타 티켓 판매 사이트를 통해 예매 가능<br />
- 인터넷을 통한 공연예매는 해당공연 하루 전일까지만 가능<br />
[전화 예약]<br />
- 백암아트홀 기획공연일 경우 전화예매 가능(백암아트홀 559-1333)<br />
- 대관공연일 경우는 기획사 쪽을 통해 전화예매 가능
"
지식재산전문도서관,6133,,,서울특별시 강남구 테헤란로 131 한국지식재산센터3층,37.500135159,127.0329540519,"서울 지하철 2호선 역삼역 인근의 지식재산전문도서관은 국내외 지식재산 관련 도서 및 정보, 연구보고서를 소장하고 있는 국내 유일의 지식재산 전문도서관이다. 세계 각국의 지식재산 정보 및 전문 자료를 수집, 보급하여 지식재산 분야의 학술연구 기반 조성과 정보교류의 역할을 수행하고 있다. 또한, 고가·희귀자료 및 온라인 DB, E-journal 등 전문 자료를 수집, 제공하고 있다. 2018년에는 전국도서관 운영평가에서 전문도서관 부문 최우수상을 수상하기도 하였다.
일반이용자에 대해서는 대출이 불가하나 열람 및 복사를 할 수 있다. 복사 시 복사 용지는 본인이 준비하며, 도서 전체를 복사할 수는 없다.",,"이용자 검색 PC : 5대 <br />
도서 열람석 : 18석 (랩탑전용 6석)<br />
세미나실 : 3실",,10:00~17:00(점심시간 12:00~13:00),공휴일 / 대체휴무일 / 창립기념일(12.9),무료,,,주차 불가,,없음,불가,없음,"사업내용:1) 지식재산관련 정보의 열람, 복사<br />
2) 협정체결기관 대출<br />
3) 세미나실(20명규모) 무료대관<br />
4) 특허기술거래 상담(한국발명진흥회)
소장품현황:단행본 11,217권, 정기간행물 103종, 온라인Database 19종 등 (2018.01 기준)
대관안내:세미나실 (16석 / 3실)<br />
- 시설 : 화이트드, 빔프로젝터, 스크린 등<br />
- 대관비용 : 없음<br />
- 인원 및 시간 : 최소3인 이상, 1일 최대 4시간 예약 가능 <br />
- 대관방법 : 사전예약제(당일예약불가), 홈페이지 예약
"
샘터화랑,6593,,,서울특별시 서초구 고무래로8길 4(반포동),37.502642795300005,127.0103032655,"샘터화랑은 서울시 문화유산으로 선정된 한국의 근현대 미술을 선도하는 화랑이다. 1978년 9월에 설립된 이래 박서보, 윤형근, 정창섭, 미국의 찰스 아놀디 등 국내외 거장들의 전시를 개최해 오고 있으며, 동시에 장래성 있는 작가를 발굴하고 지속해서 이들의 작품 제작을 지원하고 프로모션하는 데에 힘써오고 있다.
뉴욕 ACAF, 멜버른 아트 페어, 중국 CIGE, 홍콩 아트페어 등 주요 국제 아트페어에 참여하여 한국 현대미술을 세계에 알리고 나아가 국내 작가들의 국제무대 진출을 위한 발판을 마련하기 위해 노력하고 있다. 2007년 9월에는 세계의 정보, 금융의 중심지인 상하이 모간산루 예술 특구에 국내갤러리로서는 처음으로 진출하여 한국미술의 국제화에 앞장서고 천 루오빙, 천 리주 등 전도유망한 중국 작가들을 한국과 전 세계에 소개하는 통로 역할을 다해오고 있다.",,지하 1층,3~50명,월요일~금요일 10:00~18:00 / 토요일 10:00~17:00,일요일 / 공휴일,무료,,30분,있음,,없음,불가,없음,"사업내용:전시, 아트페어

예약안내:사전예약필요 02-514-5122
"
호림아트센터(호림박물관 신사분관),6021,,,서울특별시 강남구 도산대로 317(신사동),37.522740933200005,127.0365891924,"성보문화재단 호림박물관은 호림 윤장섭 선생이 출연한 문화유산과 기금을 기반으로 설립되었다. 1982년 대치동에 호림박물관을 개관하였으며 그 후 1999년 관악구 신림동에 박물관을 확장 신축하여 재개관하였다. 이어서 2009년 6월 문화의 중심지로 떠오르고 있는 강남구 신사동 호림아트센터 내에 신사 분관을 개관하였다. 
호림박물관 신사분관은 우리나라 고미술품 전시를 위한 2, 3, 4층의 전시실과 뮤지엄 숍, 휴게 공간 등으로 이루어져 있다. 박물관은 도자, 금속, 서화, 전적 등 1만 9천여 점의 문화유산을 소장하고 있으며 이 가운데 국보 8점, 보물 54점, 서울특별시 유형문화재 11점을 보존하고 있다. 이곳의 소장품은 높은 평가를 받는 한국미술사의 중요한 자료이며 개관 이후 수준 높은 소장품을 바탕으로 다양한 주제의 전시를 열고 있다. 도자기와 빗살무늬 토기를 모티프로 한 박물관 건축 역시 하나의 예술작품으로서 지역의 랜드마크가 되고 있다.",,"부지면적 585.91㎡ 건물연면적 984.99㎡(지하3층, 지상5층)",200명,10:30~18:00(입장 마감 17:00),월요일 / 일요일,"[개인]<br>- 일반 8,000원 / 청소년·장애인 5,000원 <br>[단체] 20인 이상<br>- 일반 5,000원 / 청소년·장애인 3,000원<br>* 매달 마지막 목요일 무료관람",,약 1시간 30분,호림아트센터 지하 2~4층 주차장,,없음,불가,가능,"소장품현황:총 11,572점[토기·도자기 7,936점, 회화·전적 1,640점, 금속공예 872점, 기타(민속품 등) 1,124점]

사업내용:1)  문화재 수집·보존·전시<br />                                                   
2)  타 박물관 특별전시 유물 대여<br />                                                            
3) 도록 및 보고서 발간<br />                                                           
4) 학술 단체 및 연구자 지원<br />                                              
5) 문화교육활동
예약안내:홈페이지 및 전화예약
한국어 안내서비스:오디오 가이드(1층 로비 안내데스크)<br />
전시설명(큐레이터) : 11:00, 15:00
"
매헌 윤봉길의사 기념관,6773,,,서울특별시 서초구 매헌로 99(양재동),37.4730133801,127.0369572323,"매헌 윤봉길의사 기념관은 윤봉길 의사의 삶과 업적을 올바르게 알리고 농촌계몽과 의열 투쟁을 위한 애국애족의 나라 사랑 정신을 널리 선양하고자 건립한 기념관이다. 지하 1층부터 지상 3층에 이르는 규모를 가지고 있고, 전시물로는 윤봉길 의사의 유품과 생애 사진, 훈장 그리고 항일독립운동 관련 사진 등이 전시되어 있다. 제1전시관은 윤봉길 의사의 연표와 출생과 성장, 유품 등이 전시되어 있고 제2전시관은 상하이 도착, 한인애국단 입단, 순국, 추모 공간으로 구성되어 있으며 중앙홀에는 매헌 윤봉길 의사의 좌상이 있으며, 뮤지업샵, VR 체험, 크로마키·AR 체험 등 할 수 있는 공간이 마련되어 있다.",,,,"하절기(3~10월) 10:00~18:00<br>
동절기(11~2월) 10:00~17:00<br>
 ※ 마감 30분 전까지 입장 가능<br>",월요일 / 1월 1일 / 설 추석 연휴,무료,,1시간,있음,"승용차 - 매 10분당 300원 / 경차 - 승용차의 50% 할인<br />
장애인 및 국가유공자 차 - 승용차의 80 % 할인<br />
버스(중형 포함) - 승용차의 200%(평일에 한함)",불가,불가,없음,"예약안내:강당(206석), 영상실(60석) 대관 가능
예약안내:전화 및 홈페이지 예약 가능
한국어 안내서비스:전시 해설 가능 - 1일 4회(하절기는 5회) 진행 <br />
하절기 - 11:00, 12:00, 14:30, 15:30, 16:30<br />
동절기 - 11:00, 12:00, 14:30, 15:30 <br />
* 기념관 사정에 의하여 변동될 수 있음<br />
* 해설은 최소 5명 이상부터 가능
"
